resume,job_description,label
"Python FastAPI SQL REST API Git Docker","Python backend developer required Python FastAPI SQL REST API Git Docker",1
"Python Django PostgreSQL Git REST APIs","Backend engineer required Python Django PostgreSQL REST APIs Git",1
"React JavaScript TypeScript Node.js MongoDB","Frontend engineer required React JavaScript TypeScript",1
"Machine learning Python pandas numpy scikit-learn NLP","Machine learning engineer required Python pandas numpy scikit-learn NLP",1
"Java Spring Boot SQL REST Git","Java backend engineer required Java Spring Boot SQL REST Git",1
"HTML CSS JavaScript React","React frontend developer required React JavaScript HTML CSS",1
"Python pandas SQL Power BI Excel","Data analyst required Python pandas SQL Power BI",1
"AWS Docker Kubernetes CI CD Linux","DevOps engineer required AWS Docker Kubernetes CI CD Linux",1
"Python FastAPI SQL","Graphic designer required Photoshop Illustrator Figma branding",0
"Photoshop Illustrator Figma branding","Python backend developer required Python FastAPI SQL Docker",0
"Accounting Tally GST Excel","Machine learning engineer required Python PyTorch NLP",0
"Civil engineering AutoCAD surveying","Python backend developer required FastAPI Django PostgreSQL",0
"Marketing SEO social media content","Java backend engineer required Java Spring Boot Hibernate",0
"Mechanical CAD manufacturing","React developer required React TypeScript JavaScript Node.js",0
"HR recruitment payroll communication","Data scientist required Python pandas scikit-learn SQL",0
"Video editing Premiere After Effects","Cloud engineer required AWS Terraform Kubernetes Docker",0
"Python Flask SQL Git","Civil structural engineer required AutoCAD STAAD concrete design",0
"Figma UX research prototyping","Python data analyst required pandas SQL Power BI statistics",0
"JavaScript React CSS","Python machine learning engineer required Python scikit-learn TensorFlow",0
"Excel bookkeeping finance","DevOps engineer required Docker Kubernetes AWS Linux CI CD",0
